City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
126,Mackay,AU,62.69,-21.15,149.2,International Lodge Motel
129,Boende,CD,70.9,-0.2167,20.8667,
131,Port Alfred,ZA,62.19,-33.5906,26.891,The Halyards Hotel
141,Saint-Joseph,RE,66.58,-21.3667,55.6167,"""Plantation Bed and Breakfast"
142,Atakpame,TG,69.96,7.5333,1.1333,Hôtel Luxembourg Atakpame
144,Grand Gaube,MU,72.0,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
147,Roald,NO,63.16,62.5833,6.1333,Flem Cabins
156,Saint-Philippe,RE,67.59,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
168,Powassan,CA,71.22,46.0334,-79.3496,Munro Park Campgrounds
171,Batagay,RU,70.03,67.6333,134.6333,Gostinitsa Ki'ileekh
172,Vadso,NO,65.28,70.0744,29.7487,Scandic Vadsø
179,Thompson,CA,66.36,55.7435,-97.8558,Burntwood Hotel
192,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
194,Pisco,PE,66.25,-13.7,-76.2167,Hotel San Isidro Oficial
199,Thompson,CA,66.36,55.7435,-97.8558,Burntwood Hotel
200,Carballo,ES,65.01,43.213,-8.691,Pazo do Souto
210,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
214,Ponta Do Sol,PT,70.43,32.6667,-17.1,Hotel do Campo
217,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
223,Yellowknife,CA,70.32,62.456,-114.3525,The Explorer Hotel
225,Ilebo,CD,72.7,-4.3167,20.5833,Hôtel BUMAK
226,Lieksa,FI,62.56,63.3167,30.0167,Kaatrahovi
227,Nikolskoye,RU,69.69,59.7035,30.7861,Tourist House - Sablino
229,Thompson,CA,66.36,55.7435,-97.8558,Burntwood Hotel
238,Betanzos,ES,65.32,43.2804,-8.2147,Hotel Garelos Betanzos
240,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
247,Astoria,US,64.6,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
249,Arraial Do Cabo,BR,71.64,-22.9661,-42.0278,Pousada Porto Praia
252,Cananeia,BR,65.03,-25.0147,-47.9267,Pousada Ancoradouro
257,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
